,method,image_id,eps,fake_iou,perturbation,bounds_clip,elapsed_time_perturbation,elapsed_time_eps_computed_ious,IoU_vanilla,tmps_vanilla,IoU_extension,tmps_extension
0,IBP,2,0.0,False,whitenoise,"[[65.24769, 91.63693, 90.06032, 112.29337], [65.24769, 91.63693, 90.06032, 112.29337]]",0.6853809356689453,0.01338505744934082,"[0.9134552710145094, 0.9134552710145094]",8.606910705566406e-05,"[0.9134552478790283, 0.91345525]",0.010931015014648438
1,IBP,2,0.0,False,brightness,"[[65.24769, 91.63693, 90.06032, 112.29337], [65.24769, 91.63693, 90.06032, 112.29337]]",0.6853809356689453,0.026340007781982422,"[0.9134552710145094, 0.9134552710145094]",8.20159912109375e-05,"[0.9134552478790283, 0.91345525]",0.01083993911743164
2,IBP,2,0.0,False,contrast,"[[65.24769, 91.63693, 90.06032, 112.29337], [65.24769, 91.63693, 90.06032, 112.29337]]",0.6853809356689453,0.0392911434173584,"[0.9134552710145094, 0.9134552710145094]",8.177757263183594e-05,"[0.9134552478790283, 0.91345525]",0.010782241821289062
3,IBP,2,0.00022222222222222223,True,whitenoise,"[[45.001656, 74.90602, 70.357, 93.934044], [87.97955, 109.48155, 112.970955, 129.92686]]",0.7014131546020508,0.001920938491821289,"[0, 1]",0.0,"[0, 1]",0.0
4,IBP,2,0.00022222222222222223,True,brightness,"[[45.001656, 74.90602, 70.357, 93.934044], [87.97955, 109.48155, 112.970955, 129.92686]]",0.7014131546020508,0.0034890174865722656,"[0, 1]",0.0,"[0, 1]",0.0
5,IBP,2,0.0011111111111111111,True,contrast,"[[34.653233, 65.49539, 59.966694, 83.22125], [102.72557, 119.42987, 127.24279, 140.44147]]",0.7014131546020508,0.005040168762207031,"[0, 1]",0.0,"[0, 1]",0.0
6,IBP,2,0.00044444444444444447,True,whitenoise,"[[24.408968, 56.688595, 50.038227, 73.07772], [117.08797, 129.59236, 141.16942, 150.75706]]",0.7149548530578613,0.0018658638000488281,"[0, 1]",0.0,"[0, 1]",0.0
7,IBP,2,0.00044444444444444447,True,brightness,"[[24.408968, 56.688595, 50.038227, 73.07772], [117.08797, 129.59236, 141.16942, 150.75706]]",0.7149548530578613,0.003412008285522461,"[0, 1]",0.0,"[0, 1]",0.0
8,IBP,2,0.0022222222222222222,True,contrast,"[[2.8407998, 36.04202, 28.875652, 51.213196], [148.87485, 150.6256, 173.40344, 173.26204]]",0.7149548530578613,0.004954099655151367,"[0, 1]",0.0,"[0, 1]",0.0
9,IBP,2,0.0006666666666666668,True,whitenoise,"[[2.3138375, 36.071075, 28.452816, 51.196968], [150.8165, 152.36063, 175.29623, 174.82645]]",0.6968550682067871,0.0018579959869384766,"[0, 1]",0.0,"[0, 1]",0.0
10,IBP,2,0.0006666666666666668,True,brightness,"[[2.3138375, 36.071075, 28.452816, 51.196968], [150.8165, 152.36063, 175.29623, 174.82645]]",0.6968550682067871,0.0034050941467285156,"[0, 1]",0.0,"[0, 1]",0.0
11,IBP,2,0.003333333333333333,True,contrast,"[[0, 3.253025, 0.80067855, 17.855661], [201.78867, 187.43198, 229.6632, 211.02617]]",0.6968550682067871,0.004995107650756836,"[0, 1]",0.0,"[0, 1]",0.0
